text,read_code,read_term
Adult victim of abuse,SN56.,Adult maltreatment syndrome
Victim of elder abuse,SN56.,Adult maltreatment syndrome
Victim of physical abuse,SN560,"Battered person unspecified, syndrome"
Battered spouse syndrome,SN560,"Battered person unspecified, syndrome"
Battered woman syndrome,SN561,"Battered woman, unspecified"
Battered wife,SN563,Battered wife
Battered husband,SN564,Battered husband
Maltreatment syndromes,SN57.,Maltreatment syndromes
Neglect or abandonment,SN570,Neglect or abandonment
Sexual abuse,SN571,Sexual abuse
Allergy to pork,SN58.,Food allergy
Allergy to olive oil,SN58.,Food allergy
Allergy to potato,SN58.,Food allergy
Allergy to watermelon,SN58.,Food allergy
Pollen-food allergy,SN58.,Food allergy
Allergy to oyster,SN58.,Food allergy
Allergy to shellfish,SN58.,Food allergy
Allergy to oats,SN58.,Food allergy
Allergy to fruit,SN58.,Food allergy
Allergy to tomato,SN58.,Food allergy
Allergy to peanut,SN58.,Food allergy
Allergy to red meat,SN58.,Food allergy
Allergy to nut,SN58.,Food allergy
Allergy to shrimp,SN58.,Food allergy
Allergy to walnut,SN58.,Food allergy
Allergy to strawberry,SN58.,Food allergy
Allergy to mollusk,SN58.,Food allergy
Allergy to lobster,SN58.,Food allergy
Allergy to seafood,SN58.,Food allergy
Allergy to fish,SN58.,Food allergy
Allergy to wheat,SN58.,Food allergy
Allergy to food,SN58.,Food allergy
Allergy to dietary mushroom,SN58.,Food allergy
Allergy to dairy foods,SN58.,Food allergy
Allergy to edible egg,SN580,Egg allergy
Allergy to egg protein,SN581,Egg protein allergy
Allergic reaction to bee sting,SN590,Allergic reaction to bee sting
Allergic reaction to flea bite,SN591,Allergic reaction to insect bite
Allergic reaction to insect bite,SN591,Allergic reaction to insect bite
Malignant hyperpyrexia due to anesthetic,SN5y0,Malignant hyperpyrexia due to anaesthetic
Hypothermia caused by anaesthetic,SN5y1,Malignant hypothermia due to anaesthetic
Complication of observation procedure,SP0..,Complications of certain procedures
Complication of injection,SP0..,Complications of certain procedures
Laser-induced burn,SP0..,Complications of certain procedures
Injection site cyst,SP0..,Complications of certain procedures
Auditory system complication of procedure,SP0..,Complications of certain procedures
Complication of patch testing,SP0..,Complications of certain procedures
Pain during outflow of dialysate,SP0..,Complications of certain procedures
Complication of manipulation procedure,SP0..,Complications of certain procedures
Late effect of complications of procedure,SP0..,Complications of certain procedures
Inadequate haemodialysis,SP0..,Complications of certain procedures
Complication of physical rehabilitation therapy procedure,SP0..,Complications of certain procedures
Pain during inflow of dialysate,SP0..,Complications of certain procedures
Complication of hydrotherapy procedure,SP0..,Complications of certain procedures
Application site atrophy,SP0..,Complications of certain procedures
Polyserositis syndrome of dialysis,SP0..,Complications of certain procedures
Complication of diathermy procedure,SP0..,Complications of certain procedures
Application site disorder,SP0..,Complications of certain procedures
Intravasation of drug or medicament,SP0..,Complications of certain procedures
Loss of ultrafiltration,SP0..,Complications of certain procedures
Loss of solute clearance,SP0..,Complications of certain procedures
Complication of preventive medicine procedure,SP0..,Complications of certain procedures
Complication of diagnostic procedure,SP0..,Complications of certain procedures
Complication of cryotherapy procedure,SP0..,Complications of certain procedures
Complication of traction procedure,SP0..,Complications of certain procedures
Complication of procedure,SP0..,Complications of certain procedures
Complication of renal dialysis,SP0..,Complications of certain procedures
Complication of laser surgery,SP0..,Complications of certain procedures
Complication of hemodialysis,SP0..,Complications of certain procedures
First use syndrome of dialysis,SP0..,Complications of certain procedures
Hypercalcaemia associated with chronic dialysis,SP0..,Complications of certain procedures
Suture granuloma,SP0..,Complications of certain procedures
Complication of procedure by procedure type,SP0..,Complications of certain procedures
Complication of reduction procedure,SP0..,Complications of certain procedures
Complication of puncture procedure,SP0..,Complications of certain procedures
Underdialysis,SP0..,Complications of certain procedures
Leakage of radio-opaque material,SP0..,Complications of certain procedures
Complication of procedure by succeeding disorder,SP0..,Complications of certain procedures
Cancer treatment related morbidity,SP0..,Complications of certain procedures
Leakage of cardiac device,SP00.,"Mechanical complication of cardiac device, implant and graft"
"Mechanical complication of cardiac device, implant AND/OR graft",SP00.,"Mechanical complication of cardiac device, implant and graft"
Leakage due to cardiac device,SP00.,"Mechanical complication of cardiac device, implant and graft"
Prosthetic cardiac valve component embolism,SP002,Mechanical complication of heart valve prosthesis
Prosthetic cardiac paravalvular leak,SP002,Mechanical complication of heart valve prosthesis
Prosthetic cardiac valve displacement,SP002,Mechanical complication of heart valve prosthesis
Paraprosthetic mitral regurgitation,SP002,Mechanical complication of heart valve prosthesis
Paraprosthetic pulmonary regurgitation,SP002,Mechanical complication of heart valve prosthesis
Paraprosthetic tricuspid regurgitation,SP002,Mechanical complication of heart valve prosthesis
Intra-aortic balloon rupture,SP014,Mechanical complication of intra-aortic balloon
Leakage from Tenckhoff catheter,SP015,Mechanical complication of dialysis catheter
Mechanical complication of arteriovenous surgical shunt,SP016,Mechanical complication of arterio-venous surgical shunt
Mechanical complication of arteriovenous surgical fistula,SP017,Mechanical complication of arterio-venous surgical fistula
"Mechanical complication of nervous system device, implant AND/OR graft",SP02.,Mechanical complication nervous system device/implant/graft
Mechanical complication of ventricular communicating shunt,SP024,Mechanical complication-ventricular(CSF) communicating shunt
"Mechanical complication of genitourinary device, implant AND/OR graft",SP03.,Mechanical complication genito-urinary device/implant/graft
Disorders of urogenital prostheses or implants,SP030,"Mechanical complication of genito-urinary device, unspec"
Bleeding due to intrauterine contraceptive device,SP032,Mechanical complication of intrauterine contraceptive device
Uterine perforation by intrauterine contraceptive device,SP032,Mechanical complication of intrauterine contraceptive device
Expulsion intrauterine contraceptive device,SP032,Mechanical complication of intrauterine contraceptive device
Mechanical complication of prosthetic reconstruction of vas deferens,SP034,Mechanical complic prosthetic reconstruction vas deferens
"Mechanical complication of internal orthopedic device, implant AND/OR graft",SP04.,Mechanical complication of internal orthopaedic device
Wear of articular bearing surface of prosthetic joint,SP04W,Mechanical complication of internal joint prosthesis
Prosthetic joint mechanical failure,SP04W,Mechanical complication of internal joint prosthesis
Prosthetic joint dislocation,SP04X,Dislocation of joint prosthesis
Mechanical complication of device,SP05.,Mechanical complication of other prosthetic device
Deposits on intraocular lens obscuring vision,SP055,Mechanical complication of intraocular lens
Mechanical obstruction of intraocular lens,SP055,Mechanical complication of intraocular lens
Decentered intraocular lens implant,SP055,Mechanical complication of intraocular lens
Mechanical breakdown of intraocular lens,SP055,Mechanical complication of intraocular lens
Deposits on intraocular lens,SP055,Mechanical complication of intraocular lens
Protrusion of intraocular lens,SP055,Mechanical complication of intraocular lens
Dislocated intraocular lens into vitreous,SP055,Mechanical complication of intraocular lens
Silicone oil droplets on intraocular lens,SP055,Mechanical complication of intraocular lens
Dislocated intraocular lens,SP055,Mechanical complication of intraocular lens
YAG laser pit in intraocular lens,SP055,Mechanical complication of intraocular lens
Graft infection,SP056,Infec & inflam react due oth int prosth device/imp/graft
Prosthetic infection,SP056,Infec & inflam react due oth int prosth device/imp/graft
Graft complications,SP057,Graft complication NOS
Mechanical complication of gastrointestinal prosthetic device,SP058,Mechanical complication of gastrointestinal prosthet device
"Infection AND/OR inflammatory reaction due to internal prosthetic device, implant AND/OR graft",SP06.,Infection and inflammation due to internal prosthetic device
Prosthetic joint infection,SP060,Infected joint prosthesis
Adverse effect of prosthetic device,SP07.,Other complications internal prosthetic device/implant/graft
Disorder of prostheses and implants,SP07.,Other complications internal prosthetic device/implant/graft
"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system",SP077,"Infect+inflam react due pros dev,implt+graft in urinary syst"
"Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract",SP078,"Infect+inflam react due/prosth dev,implant+graft in gen trct"
De novo transplant disease,SP08.,Transplanted organ complication
Disorder affecting transplanted structure,SP08.,Transplanted organ complication
Disorder of transplanted bone marrow,SP08.,Transplanted organ complication
Bone marrow transplant failure,SP080,Transplanted organ failure
Chronic rejection of bone marrow transplant,SP082,Bone-marrow transplant rejection
Accelerated rejection of bone marrow transplant,SP082,Bone-marrow transplant rejection
Hyperacute rejection of bone marrow transplant,SP082,Bone-marrow transplant rejection
Bone marrow transplant rejection,SP082,Bone-marrow transplant rejection
Acute rejection of bone marrow transplant,SP082,Bone-marrow transplant rejection
Complications of attempted introduction of fertilized ovum following in vitro fertilization,SP0D2,Compltns of attemptd intro fertil ovum follow in vitro fert
Complications of attempted introduction of embryo in embryo transfer,SP0D3,Complctns/attemptd introduction of embryo in embryo transfer
Postoperative cerebrospinal fluid leak,SP102,Post operative CSF leak
Cardiac complication,SP11.,Cardiac complications of care
Postoperative deep vein thrombosis,SP122,Post operative deep vein thrombosis
Aspiration pneumonia resulting from a procedure,SP131,Other aspiration pneumonia as a complication of care
Postoperative lower respiratory tract infection,SP132,Post operative chest infection
Complication of external stoma of gastrointestinal tract,SP140,Complication of external gastrointestinal stoma NEC
Disorder of gastrointestinal anastomosis,SP141,Complication of gastrointestinal anastomosis or bypass NEC
Intestinal obstruction due to a procedure,SP144,Intestinal obstruction as a complication of care NOS
Stomal prolapse,SP145,Prolapse of stoma
Complication of external stoma of urinary tract,SP150,Urinary tract external stoma complication
Bony prominence of amputation stump,SP164,Bony prominence in amputation stump
Intraoperative hemorrhage,SP210,Intra-operative haemorrhage
Postoperative hemorrhage,SP211,Post-operative haemorrhage
Reactionary hemorrhage postprocedure,SP211,Post-operative haemorrhage
Secondary hemorrhage postprocedure,SP211,Post-operative haemorrhage
Intra-abdominal hemorrhage postprocedure,SP211,Post-operative haemorrhage
Hemorrhage following skin surgery,SP211,Post-operative haemorrhage
Extensive post-operative bruising,SP211,Post-operative haemorrhage
Postoperative haematoma formation,SP212,Post-operative haematoma formation
Accidental puncture during a procedure,SP22.,Peri-operative injury
Perioperative injury,SP22.,Peri-operative injury
Accidental bladder perforation during operation,SP222,Accidental organ perforation during a procedure
Intraoperative fracture,SP224,Intra-operative fracture
Periprosthetic fracture,SP22X,"# bone follow insertn/orthopaed implnt,jnt pros,bne plate"
Postoperative wound breakdown,SP230,Operation wound dehiscence
Foreign body accidentally left within patient postoperatively,SP24.,Foreign body accidentally left within patient postop
